id,fa,year,title,global_cites,in_corpus_cites,pagerank,venue
https://openalex.org/W2020955958,Chan,2008,Pedagogical Transformation and Knowledge-Building for the Chinese Learner,38,5,0.00038,Evaluation & Research in Education
https://openalex.org/W2467981461,Batalden,1993,A Framework for the Continual Improvement of Health Care: Building and Applying Profession,307,0,0.00018,The Joint Commission Journal on Quality Improvement
https://openalex.org/W2128229667,Zheng,2014,Identifying Computer-Supported Collaborative Learning (CSCL) Research in Selected Journals,18,2,0.00024,Educational Technology & Society
https://openalex.org/W2063964020,Stahl,2013,Collaborative Learning at CSCL 2013,9,0,0.00018,International Journal of Computer-Supported Collaborative Learning
https://openalex.org/W2020507967,Urhahne,2009,Role of the Teacher in Computer‐supported Collaborative Inquiry Learning,99,5,0.00032,International Journal of Science Education
https://openalex.org/W4388976623,Tu,2023,University students’ conceptions of ChatGPT-supported learning: a drawing and epistemic ne,45,2,0.00024,Interactive Learning Environments
https://openalex.org/W4289109331,Jeong,2022,The Advent of the New Architectural Profession through BIM,3,0,0.00018,Buildings
https://openalex.org/W3006484790,He,2013,Proceedings of the 22nd ACM international conference on Information & Knowledge Management,282,0,0.00018,
https://openalex.org/W1997199641,Stahl,2012,Cognizing mediating: Unpacking the entanglement of artifacts with collective minds,14,1,0.0002,International Journal of Computer-Supported Collaborative Learning
https://openalex.org/W2768279412,Brailsford,2001,Building a Knowledge Community at Hallmark Cards,27,0,0.00018,Research-Technology Management
https://openalex.org/W2009528117,Blake,2014,The developmental origins of fairness: the knowledge–behavior gap,214,0,0.00018,Trends in Cognitive Sciences
https://openalex.org/W2068337277,Persico,2010,Monitoring collaborative activities in computer supported collaborative learning,54,6,0.00043,Distance Education
https://openalex.org/W1980273690,Ge,2011,Exploring e-learners’ perceptions of net-based peer-reviewed English writing,47,1,0.00019,International Journal of Computer-Supported Collaborative Learning
https://openalex.org/W2162907163,Mangenot,2006,Collective Activity and Tutor Involvement in E-learning Environments for Language Teachers,55,0,0.00018,CALICO Journal
https://openalex.org/W1608635491,Crook,2018,Computers and the Collaborative Experience of Learning (1994),637,31,0.00553,
https://openalex.org/W2039031214,Rosé,2008,Analyzing collaborative learning processes automatically: Exploiting the advances of compu,348,40,0.0019,International Journal of Computer-Supported Collaborative Learning
https://openalex.org/W2158530090,Schwarz,2015,Learning to learn together with CSCL tools,30,6,0.0003,International Journal of Computer-Supported Collaborative Learning
https://openalex.org/W2144115080,Ferry,2000,Using computer-mediated communication to form a knowledge-building community with beginnin,25,1,0.00021,QUT ePrints (Queensland University of Technology)
https://openalex.org/W1998383371,Kobbe,2007,Specifying computer-supported collaboration scripts,409,63,0.00196,International Journal of Computer-Supported Collaborative Learning
https://openalex.org/W4390508433,Tong,2024,Promoting low-achieving students’ epistemic understanding of discourse: a video-based visu,3,1,0.00019,Interactive Learning Environments
https://openalex.org/W3195114775,Amarasinghe,2021,Deconstructing orchestration load: comparing teacher support through mirroring and guiding,26,0,0.00018,International Journal of Computer-Supported Collaborative Learning
https://openalex.org/W2898350894,Moyano,2018,Knowledge construction in discussions of research articles in two disciplines in Spanish: ,25,0,0.00018,Journal of Pragmatics
https://openalex.org/W2055092089,Kirschner,2004,Designing electronic collaborative learning environments,496,18,0.00098,Educational Technology Research and Development
https://openalex.org/W2603385522,Law,2011,Dimensions of Social Interactions Contributing to Knowledge Construction and Building in a,2,0,0.00018,Computer Supported Collaborative Learning
https://openalex.org/W2085855934,Kimmerle,2010,VISUALIZING CO-EVOLUTION OF INDIVIDUAL AND COLLECTIVE KNOWLEDGE,46,6,0.00028,Information Communication & Society
https://openalex.org/W1595171693,Kiggins,2007,The knowledge building community program: a partnership for progress,2,0,0.00018,Research Online (University of Wollongong)
https://openalex.org/W2088035780,Higgins,2011,Multi-touch tables and the relationship with collaborative classroom pedagogies: A synthet,118,16,0.00054,International Journal of Computer-Supported Collaborative Learning
https://openalex.org/W1847403917,Ergazaki,2007,Analysing students' shared activity while modeling a biological process in a computer‐supp,17,0,0.00018,Journal of Computer Assisted Learning
https://openalex.org/W2079722849,Jordan,2014,“I guess my question is”: What is the co-occurrence of uncertainty and learning in compute,25,2,0.00029,International Journal of Computer-Supported Collaborative Learning
https://openalex.org/W4401101851,Nguyen,2024,Digital transformation in Vietnamese higher education: an epistemic network analysis of po,14,0,0.00018,Journal of International Cooperation in Education
https://openalex.org/W2115550453,Lin,2011,THE IMPACT OF USING SYNCHRONOUS COLLABORATIVE VIRTUAL TANGRAM IN CHILDREN'S GEOMETRIC,60,1,0.00019,The turkish online journal of educational technology
https://openalex.org/W2019274340,Herrmann,2008,Context-oriented communication and the design of computer-supported discursive learning,23,4,0.00022,International Journal of Computer-Supported Collaborative Learning
https://openalex.org/W137045955,Scardamalia,2004,"Instruction, Learning, and Knowledge Building: Harnessting Theory, Design, and Innovation ",4,1,0.00021,Educational technology: The magazine for managers of change in education
https://openalex.org/W7134857064,Saqr,2026,Correction: A temporal network approach to reveal the longitudinal dynamics of CSCL group ,1,1,0.00021,International Journal of Computer-Supported Collaborative Learning
https://openalex.org/W2277444987,Melzi,2014,Patient's rationale: Patient Knowledge retrieval from health forums,14,0,0.00018,HAL (Le Centre pour la Communication Scientifique Directe)
https://openalex.org/W2516804045,Tchounikine,2016,Contribution to a theory of CSCL scripts: taking into account the appropriation of scripts,42,19,0.00054,International Journal of Computer-Supported Collaborative Learning
https://openalex.org/W2809113714,Hod,2018,"Co-development patterns of knowledge, experience, and self in humanistic knowledge buildin",31,7,0.00032,Instructional Science
https://openalex.org/W2140899338,Stahl,2009,Collaborative learning through practices of group cognition,7,0,0.00018,
https://openalex.org/W1592217062,Stahl,2002,Groupware Goes to School,33,3,0.00036,Lecture notes in computer science
https://openalex.org/W2062645875,Wolfe,2008,Annotations and the collaborative digital library: Effects of an aligned annotation interf,74,2,0.0002,International Journal of Computer-Supported Collaborative Learning
https://openalex.org/W1869195521,Sansone,2011,21. Progettare il Role Taking a sostegno del Collaborative Knowledge Building,2,0,0.00018,Qwerty
https://openalex.org/W4252414990,Zörgő,2021,An Epistemic Network Analysis of Patient Decision-Making Regarding Choice of Therapy,2,1,0.0002,
https://openalex.org/W2128889729,Ding,2008,Visualizing the sequential process of knowledge elaboration in computer-supported collabor,46,6,0.00027,Computers & Education
https://openalex.org/W4401920784,Tang,2024,The impacts of peer assessment on critical thinking competence: An epistemic network analy,8,0,0.00018,Journal of Hospitality Leisure Sport & Tourism Education
https://openalex.org/W2094624360,Summers,2010,Group work does not necessarily equal collaborative learning: evidence from observations a,84,10,0.00036,European Journal of Psychology of Education
https://openalex.org/W2206567622,Park,2015,Interactive Building Anatomy Modeling for Experiential Building Construction Education,54,0,0.00018,Journal of Professional Issues in Engineering Education and Practice
https://openalex.org/W2520944909,Ludvigsen,2016,Future-looking conversations in CSCL,12,2,0.00021,International Journal of Computer-Supported Collaborative Learning
https://openalex.org/W1795087210,Lam,2008,Fostering epistemological beliefs and conceptual change in chemistry using knowledge build,4,1,0.00019,The HKU Scholars Hub (University of Hong Kong)
https://openalex.org/W2587937998,Zheng,2017,Hybrid-augmented intelligence: collaboration and cognition,372,1,0.00033,Frontiers of Information Technology & Electronic Engineering
https://openalex.org/W1532503642,Ciampaglia,2015,Computational Fact Checking from Knowledge Networks,498,1,0.00023,PLoS ONE
https://openalex.org/W2060382599,Attard,2011,A thematic analysis of patient communication in Parkinson’s disease online support group d,172,0,0.00018,Computers in Human Behavior
https://openalex.org/W2018851888,Shaikh,2014,A review on optimized control systems for building energy and comfort management of smart ,862,0,0.00018,Renewable and Sustainable Energy Reviews
https://openalex.org/W2012135112,Schneider,2014,Toward collaboration sensing,46,7,0.00033,International Journal of Computer-Supported Collaborative Learning
https://openalex.org/W1975498171,Baghaei,2007,Supporting collaborative learning and problem-solving in a constraint-based CSCL environme,135,15,0.00051,International Journal of Computer-Supported Collaborative Learning
https://openalex.org/W1965517368,Kapur,2007,Examining the effect of problem type in a synchronous computer-supported collaborative lea,77,9,0.00057,Educational Technology Research and Development
https://openalex.org/W1993312274,Pilkington,2003,Reflecting on roles: using synchronous CMC to develop a knowledge-building community among,9,0,0.00018,International Journal of Continuing Engineering Education and Life-Long Learning
https://openalex.org/W1566654055,Torp,2009,Collaborative knowledge construction in online vocational teacher education,2,0,0.00018,Doria (University of Helsinki)
https://openalex.org/W2602586643,Tam,2016,Possibilities and Challenges in Designing Knowledge Building Environments for Secondary Sc,1,1,0.00019,TSpace (University of Toronto)
https://openalex.org/W2049723329,Dillenbourg,2013,Design for classroom orchestration,361,17,0.00058,Computers & Education
https://openalex.org/W2052376900,McLoughlin,1998,Maximising the language and learning link in computer learning environments,86,2,0.0004,British Journal of Educational Technology
https://openalex.org/W2626435342,Hernández-Sellés,2013,Planning collaborative learning in virtual environments,74,2,0.00019,Comunicar
https://openalex.org/W2266842831,Hecking,2015,Uncovering the Structure of Knowledge Exchange in a MOOC Discussion Forum,13,0,0.00018,
https://openalex.org/W168059921,Inaba,2004,Learners' Roles and Predictable Educational Benefits in Collaborative Learning An Ontologi,20,2,0.00028,
https://openalex.org/W4299488987,Grant,2000,Teacher Education and Knowledge in “the Knowledge Society”: The Need for Social Moorings i,13,0,0.00018,Teachers College Record The Voice of Scholarship in Education
https://openalex.org/W2161429246,Xing,2015,Group Learning Assessment: Developing a Theory-Informed Analytics,34,2,0.0002,Educational Technology & Society
https://openalex.org/W2060265751,Carroll,2007,Patterns as a paradigm for theory in community-based learning,28,1,0.00022,International Journal of Computer-Supported Collaborative Learning
https://openalex.org/W2150851125,Stegmann,2007,Facilitating argumentative knowledge construction with computer-supported collaboration sc,251,43,0.00131,International Journal of Computer-Supported Collaborative Learning
